ts_utc,sym,expiry,dte,spot,strike,cp,bid,ask,mid,last,volume,open_interest,iv,delta,gamma,vega,theta,day_open,day_high,day_low,prev_close
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,677.0,C,61.58,64.79,63.185,63.51,12,16,0.8703,0.9985,0.0002,0.0019,0.0,59.15,64.55,59.15,64.1
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,678.0,C,60.58,63.79,62.185,63.95,40,6,0.8579,0.9984,0.0002,0.002,0.0,57.65,64.1,57.65,63.105
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,679.0,C,59.58,62.79,61.185,63.01,68,4,0.8455,0.9984,0.0002,0.0021,0.0,56.55,63.1,56.55,62.535
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,680.0,C,58.58,61.79,60.185,61.7,58,15,0.8331,0.9983,0.0002,0.0022,0.0,55.55,62.01,55.55,61.205
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,681.0,C,57.58,60.79,59.185,60.66,36,6,0.8207,0.9982,0.0003,0.0023,0.0,54.49,61.1,54.07,60.26
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,682.0,C,56.58,59.79,58.185,59.87,32,5,0.8084,0.9981,0.0003,0.0024,0.0,53.48,60.09,53.48,59.255
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,683.0,C,55.58,58.79,57.185,58.81,32,18,0.796,0.998,0.0003,0.0025,0.0,52.32,59.15,52.32,57.885
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,684.0,C,54.58,57.79,56.185,57.5,32,8,0.7835,0.9979,0.0003,0.0026,0.0,52.59,58.1,51.84,57.11
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,685.0,C,53.46,56.79,55.125,56.54,34,40,0.745,0.9978,0.0003,0.0027,0.0,51.04,57.11,51.04,56.1
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,686.0,C,52.58,55.79,54.185,54.12,21,4,0.7587,0.9977,0.0004,0.0028,0.0,49.36,56.1,49.36,55.11
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,687.0,C,51.58,54.8,53.19,54.54,28,12,0.7483,0.9976,0.0004,0.003,0.0,48.41,55.1,48.41,54.11
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,688.0,C,50.58,53.8,52.19,53.65,20,5,0.7359,0.9974,0.0004,0.0031,0.0,47.3,54.1,47.3,53.11
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,689.0,C,49.58,52.8,51.19,53.04,20,46,0.7234,0.9973,0.0004,0.0033,0.0,46.57,53.04,46.33,52.11
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,690.0,C,48.58,51.8,50.19,51.97,67,164,0.711,0.9972,0.0004,0.0034,0.0,45.09,51.97,45.09,51.11
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,691.0,C,47.59,50.8,49.195,50.9,12,48,0.7004,0.997,0.0005,0.0036,0.0,44.59,50.9,44.45,50.1
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,692.0,C,46.59,49.8,48.195,49.24,8,22,0.6879,0.9968,0.0005,0.0038,0.0,43.75,50.09,43.62,48.93
